Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Mashu Kyrielite,1854,1972,2090,2217,2335,2462,2580,2707,2825,2952,3070,3197,3315,3442,3560,3687,3805,3932,4050,4177,4295,4422,4540,4667,4785,4912,5030,5157,5275,5402,5520,5647,5765,5892,6010,6137,6255,6382,6500,6627,6745,6872,6990,7117,7235,7362,7480,7607,7725,7852,7970,8097,8215,8342,8460,8587,8705,8832,8950,9077,9195,9322,9440,9567,9685,9812,9930,10057,10175,10302,,,,,,,,,,,,,,,,,,,,
Artoria Pendragon,2222,2364,2506,2648,2790,2945,3088,3230,3372,3527,3669,3812,3954,4109,4251,4393,4536,4691,4833,4975,5117,5260,5415,5557,5699,5841,5996,6139,6281,6423,6578,6720,6863,7005,7160,7302,7444,7587,7729,7884,8026,8168,8311,8466,8608,8750,8892,9047,9190,9332,9474,9629,9771,9914,10056,10198,10353,10495,10638,10780,10935,11077,11219,11362,11517,11659,11801,11943,12098,12241,12383,12525,12667,12822,12965,13107,13249,13404,13546,13689,13831,13986,14128,14270,14413,14568,14710,14852,14994,15150
Artoria Pendragon (Alter),1854,1863,1883,1912,1941,1990,2038,2097,2155,2233,2311,2389,2486,2584,2691,2798,2915,3041,3177,3304,3450,3596,3742,3898,4063,4229,4394,4570,4745,4920,5105,5290,5475,5660,5855,6040,6234,6429,6624,6809,7003,7198,7393,7578,7772,7957,8142,8327,8512,8687,8863,9038,9203,9369,9534,9690,9836,9982,10128,10255,10391,10518,10634,10742,10849,10946,11043,11121,11199,11277,11335,11394,11433,11462,11491,11511,11530,11550,11569,11589,,,,,,,,,,
Artoria Pendragon (Lily),1699,1707,1725,1752,1779,1823,1868,1922,1975,2047,2118,2189,2279,2368,2466,2564,2671,2787,2912,3028,3162,3296,3430,3573,3724,3876,4028,4188,4349,4510,4679,4849,5018,5188,5366,5536,5714,5893,6071,6241,6419,6598,6776,6946,7124,7294,7463,7633,7803,7963,8124,8284,8436,8588,8740,8882,9016,9150,9284,9400,9525,9641,9748,9846,9944,10034,10123,10194,10266,10337,10390,10444,10480,10506,10533,10551,10569,10587,10605,10623,,,,,,,,,,
Nero Claudius,1880,2067,2265,2462,2659,2847,3045,3232,3420,3607,3785,3963,4140,4318,4486,4644,4812,4960,5118,5256,5404,5533,5661,5789,5898,6016,6115,6214,6303,6391,6461,6530,6589,6648,6698,6737,6767,6786,6806,6816,6826,6836,6846,6855,6885,6925,6974,7033,7092,7162,7231,7320,7408,7507,7606,7724,7833,7961,8090,8218,8366,8504,8662,8810,8978,9136,9304,9482,9659,9837,10015,10202,10390,10578,10775,10963,11160,11358,11555,11753,,,,,,,,,,
Siegfried,2266,2277,2301,2337,2373,2432,2492,2563,2634,2730,2825,2920,3039,3158,3289,3420,3562,3717,3884,4038,4217,4395,4574,4764,4967,5169,5371,5585,5800,6014,6240,6466,6692,6918,7156,7382,7620,7858,8096,8322,8560,8798,9036,9262,9500,9726,9952,10178,10404,10619,10833,11047,11249,11452,11654,11844,12023,12201,12380,12534,12701,12856,12998,13129,13260,13379,13498,13593,13689,13784,13855,13927,13974,14010,14046,14069,14093,14117,14141,14165,,,,,,,,,,
Gaius Julius Caesar,1727,1742,1758,1789,1821,1868,1923,1978,2049,2120,2206,2293,2395,2498,2608,2718,2844,2970,3103,3245,3387,3536,3694,3843,4008,4173,4339,4512,4685,4858,5031,5212,5385,5566,5747,5928,6101,6282,6455,6628,6801,6974,7140,7305,7470,7628,7777,7926,8068,8210,8343,8469,8595,8705,8816,8918,9020,9107,9193,9264,9335,9390,9445,9484,9516,9532,9547,9563,9579,9595,,,,,,,,,,,,,,,,,,,,
Altera,2039,2169,2300,2430,2561,2703,2834,2964,3095,3237,3368,3498,3629,3771,3902,4032,4163,4305,4436,4566,4697,4827,4970,5100,5231,5362,5504,5635,5765,5896,6038,6169,6299,6430,6572,6703,6833,6964,7094,7237,7367,7498,7628,7771,7901,8032,8162,8305,8435,8566,8696,8839,8969,9100,9231,9361,9503,9634,9765,9895,10038,10168,10299,10429,10572,10702,10833,10963,11106,11236,11367,11497,11628,11770,11901,12031,12162,12304,12435,12565,12696,12838,12969,13099,13230,13372,13503,13634,13764,13907
Gilles de Rais,1889,1906,1923,1957,1992,2043,2104,2164,2241,2319,2414,2508,2620,2732,2853,2973,3111,3249,3395,3550,3705,3869,4041,4204,4385,4566,4747,4936,5125,5315,5504,5702,5892,6090,6288,6486,6675,6873,7063,7252,7441,7631,7811,7992,8173,8345,8509,8672,8827,8982,9129,9266,9404,9525,9645,9757,9869,9964,10058,10136,10213,10274,10334,10377,10411,10429,10446,10463,10480,10498,,,,,,,,,,,,,,,,,,,,
Chevalier d'Eon,2121,2332,2555,2777,3000,3212,3434,3646,3858,4069,4270,4470,4670,4871,5060,5238,5428,5595,5773,5929,6096,6240,6385,6530,6652,6786,6897,7009,7109,7209,7287,7365,7432,7499,7554,7599,7632,7655,7677,7688,7699,7710,7721,7733,7766,7810,7866,7933,8000,8078,8156,8256,8356,8467,8579,8712,8835,8980,9124,9269,9436,9592,9770,9937,10127,10305,10494,10694,10895,11095,11296,11507,11719,11930,12153,12365,12587,12810,13033,13256,,,,,,,,,,
